company,title,salary_range,why_fits,application_link,location,site,fit_score
Talkiatry,Business Intelligence Engineering Manager,Not specified,Modern data stack (dbt/Snowflake/Databricks); Analytics engineering focus; Senior/leadership level; Healthcare/life sciences domain; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010023020352,,glassdoor,39
SCAN Health Plan,Data Engineer Sr,"$106,200 - $153,705",Modern data stack (dbt/Snowflake/Databricks); Analytics engineering focus; Healthcare/life sciences domain; Client/stakeholder facing,https://www.indeed.com/viewjob?jk=aa71f01b4c6764d1,"Lakewood, CA, US",indeed,37
The National Society of Leadership and Success,Data Engineer,Not specified,Modern data stack (dbt/Snowflake/Databricks); Analytics engineering focus; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010024518550,,glassdoor,36
PrizePicks,Data Engineering Manager,"$150,000 - $220,000",Modern data stack (dbt/Snowflake/Databricks); Analytics engineering focus; Senior/leadership level; Remote position; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010023388531,,glassdoor,35
NCSA College Recruiting,"Senior Manager, Data Engineering",Not specified,Analytics engineering focus; Senior/leadership level; Remote position; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010026418588,,glassdoor,34
IMG Academy,"Senior Manager, Data Engineering",Not specified,Analytics engineering focus; Senior/leadership level; Remote position; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010026418587,,glassdoor,34
Brightside Health,Associate Data Engineer,Not specified,Modern data stack (dbt/Snowflake/Databricks); Healthcare/life sciences domain; Remote position; Client/stakeholder facing,https://www.indeed.com/viewjob?jk=08705b74d2d7ccd8,"Remote, US",indeed,31
Bizee,Head of Data & Analytics,"$138,119 - $200,733",Senior/leadership level; Healthcare/life sciences domain; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010026892049,"Houston, TX",glassdoor,30
Dynatron Software,Data Engineering Manager,"$160,000 - $190,000",Modern data stack (dbt/Snowflake/Databricks); Senior/leadership level; Remote position; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010015936244,,glassdoor,30
NetDocuments,Staff Database Engineer,"$159,000 - $191,900",Modern data stack (dbt/Snowflake/Databricks); Senior/leadership level; Healthcare/life sciences domain; Remote position; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010016815027,,glassdoor,30
Crinetics Pharmaceuticals,Principal Platform and Data Architect,"$170,000 - $213,000",Modern data stack (dbt/Snowflake/Databricks); Senior/leadership level; Healthcare/life sciences domain; Client/stakeholder facing,https://www.indeed.com/viewjob?jk=975a3311bba19164,"San Diego, CA, US",indeed,29
Storable,"Manager, Business Intelligence Analytics",Not specified,Modern data stack (dbt/Snowflake/Databricks); Senior/leadership level; Client/stakeholder facing,https://www.indeed.com/viewjob?jk=acf8e4cc81cfa3ec,"Remote, US",indeed,29
Gallagher Benefit Services,"Director, Data Engineering -- Benefits Data (Remote)","$122,000 - $238,000",Modern data stack (dbt/Snowflake/Databricks); Senior/leadership level; Remote position; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010016738393,"Rolling Meadows, IL",glassdoor,28
Insight Software,Software Engineering Manager,Not specified,Senior/leadership level; Client/stakeholder facing,https://www.glassdoor.com/job-listing/j?jl=1010022571115,,glassdoor,28
